using saved target 'z1'
../../../../contiki/tools/sky/serialdump-linux -b115200 /dev/ttyUSB1
connecting to /dev/ttyUSB1 (115200) [OK]
 P 0 0 0 1940843
 P 0 0 3390 2061143
 P 0 0 6780 2181443
 P 0 0 10231 2302581
 P 0 0 13621 2422043
 P 0 0 17011 2542343
 P 0 0 20401 2662643
 P 0 0 23791 2782943
 P 67 0 29753 2908131
 P 134 0 35715 3027119
 P 2790 0 36787 3145117
 P 3613 0 39354 3264143
 P 3613 0 42744 3384443
 P 3613 0 46134 3504743
 P 3613 0 49524 3625043
 P 6277 0 49540 3746298
 P 8324 0 49543 3865643
 P 8324 0 52933 3985943
 P 8324 0 56323 4106243
 P 8324 0 59713 4226543
 P 9996 0 59730 4349013
 P 11436 0 59734 4467143
 P 11436 0 63124 4587443
 P 11436 0 66514 4707743
 P 11436 0 69904 4828043
 P 13812 0 69921 4949170
 P 16214 0 69924 5068643
 P 16214 0 73314 5188943
 P 16214 0 76704 5309243
 P 16214 0 80094 5429543
 P 18782 0 80111 5550861
 P 19585 0 80115 5670143
 P 19585 0 83505 5790443
 P 19585 0 86895 5910743
 P 19585 0 90285 6031043
 P 21834 0 90302 6152043
 P 24624 0 90305 6271643
 P 24624 0 93695 6391943
 P 24624 0 97085 6512243
 P 24624 0 100475 6632543
 P 26040 0 100493 6754758
 P 28542 0 100497 6873143
 P 28542 0 103887 6993443
 P 28542 0 107277 7113743
 P 28542 0 110667 7234043
 P 30661 0 110685 7356961
 P 31821 0 110688 7474643
 P 31821 0 114078 7594943
 P 31821 0 117468 7715243
 P 31821 0 120858 7835543
 P 34036 0 120876 7956605
 P 36061 0 120880 8076143
 P 36061 0 124270 8196443
 P 36061 0 127660 8316743
 P 36061 0 131050 8437043
 P 38212 0 131068 8559834
 P 39663 0 131071 8677643
 P 39663 0 134461 8797943
 P 39663 0 137851 8918243
 P 39663 0 141241 9038543
 P 41238 0 141259 9160501
 P 43650 0 141263 9279143
 P 43650 0 144653 9399443
 P 43650 0 148043 9519743
 P 43650 0 151433 9640043
 P 46185 0 151451 9762705
 P 48823 0 151454 9880643
 P 48823 0 154844 10000943
 P 48823 0 158234 10121243
 P 48823 0 161624 10241543
 P 51806 0 161642 10364397
 P 54029 0 161646 10482143
 P 54029 0 165036 10602443
 P 54029 0 168426 10722743
 P 54029 0 171816 10843043
 P 55764 0 171834 10965578
 P 58469 0 171837 11083643
 P 58469 0 175227 11203943
 P 58469 0 178617 11324243
 P 58469 0 182007 11444543
 P 61420 0 182026 11566246
 P 63806 0 182030 11685143
 P 63806 0 185420 11805443
 P 65690 73 185434 11926778
 P 66966 146 185449 12048390
 P 69281 146 188030 12169919
 P 71262 219 188044 12288159
 P 72763 292 188059 12408363
 P 74780 292 190640 12530659
 P 76282 365 190654 12649059
 P 78299 566 190665 12768730
 P 79801 639 190680 12889659
 P 81818 838 190691 13009329
 P 83321 911 190706 13130259
 P 85752 984 190721 13250464
 P 86935 1057 190737 13370540
 P 89335 1130 190751 13490999
 P 91127 1203 190766 13612355
 P 93497 1203 193347 13733371
 P 95482 1276 193361 13852059
 P 97915 1349 193377 13972264
 P 99100 1421 193393 14092339
 P 101502 1494 193407 14212799
 P 103464 1494 195988 14335319
 P 104708 1494 198564 14455619
 P 106694 1567 198579 14573859
 P 109130 1640 198593 14694064
 P 110317 1712 198610 14814139
 P 112721 1785 198625 14934600
 P 114518 1858 198639 15055956
 P 115764 1858 201215 15178731
 P 117725 1858 201226 15294996
 P 119234 1931 201240 15415959
 P 121195 1931 201251 15535372
 P 122386 1931 201257 15655992
 P 124665 2003 201278 15776763
 P 126175 2076 201292 15896839
 P 128192 2076 203873 16020415
 P 129702 2149 203888 16137758
 P 131720 2339 203899 16257419
 P 133231 2412 203914 16378360
 P 135248 2602 203925 16498019
 P 136761 2675 203939 16618959
 P 138778 2863 203950 16738617
 P 140290 2936 203966 16859560
 P 142307 2936 206547 16981599
 P 143820 3009 206561 17100158
 P 145837 3196 206572 17219816
 P 147351 3269 206587 17340760
 P 149368 3455 206598 17460415
 P 150882 3528 206613 17581359
 P 152899 3714 206624 17701016
 P 154096 3714 206629 17821392
 P 156375 3787 206649 17942163
 P 157890 3860 206664 18062240
 P 159907 3860 209245 18185815
 P 161424 3933 209260 18303160
 P 163445 3933 209271 18422632
 P 164961 4005 209287 18543758
 P 166978 4187 209298 18663412
 P 168495 4260 209313 18784360
 P 170457 4260 211894 18906719
 P 171976 4332 211909 19024960
 P 173993 4512 211920 19144609
 P 175511 4585 211935 19265559
 P 177532 4585 211947 19385032
 P 179051 4657 211963 19506158
 P 181068 4836 211975 19625809
 P 183068 4909 211989 19746759
 P 184589 4982 212003 19866964
 P 186606 4982 214584 19989259
 P 188344 4982 217160 20109719
 P 189865 5055 217174 20227959
 P 191882 5232 217186 20347606
 P 193404 5305 217201 20468561
 P 195421 5480 217213 20588205
 P 196943 5553 217228 20709159
 P 198961 5730 217239 20828806
 P 200484 5802 217253 20949759
 P 202501 5977 217264 21069404
 P 204024 6050 217280 21190360
 P 206045 6050 217291 21309832
 P 207570 6123 217305 21430960
 P 209587 6296 217317 21550603
 P 211111 6369 217332 21671559
 P 213128 6369 219913 21793599
 P 214653 6442 219928 21912158
 P 216615 6442 222509 22034519
 P 219203 6442 223760 22154819
 P 221220 6442 226341 22275023
 P 223226 6515 226356 22393359
 P 224434 6515 226362 22512996
 P 226889 6588 226376 22633959
 P 228096 6661 226392 22754164
 P 230487 6734 226407 22874239
 P 232504 6734 228988 22997815
 P 234512 6807 229003 23115159
 P 236040 6880 229018 23235362
 P 238049 6953 229032 23355439
 P 239578 7026 229047 23475899
 P 241588 7026 231360 23599315
 P 243117 7099 231375 23716659
 P 244327 7171 231390 23836862
 P 246350 7171 233971 23959319
 P 247880 7244 233986 24077559
 P 249897 7410 233997 24197195
 P 251166 7410 236573 24320219
 P 253445 7482 236594 24438364
 P 254977 7555 236608 24558439
 P 256994 7555 239189 24682015
 P 258526 7628 239204 24799359
 P 260543 7790 239215 24918991
 P 263129 7790 240476 25042019
 P 265146 7790 243057 25162223
 P 266679 7862 243073 25280558
 P 268585 7862 243084 25400292
 P 270119 7935 243099 25521159
 P 272136 8096 243110 25640790
 P 273671 8168 243125 25761758
 P 275692 8168 243136 25881232
 P 277709 8241 243151 26002361
 P 279246 8314 243165 26122564
 P 281710 8387 243180 26242638
 P 282926 8459 243196 26363099
 P 285319 8459 245517 26486515
 P 287752 8532 245531 26603859
 P 289577 8605 245546 26724063
 P 291890 8605 245556 26843732
 P 294714 8678 245575 26964665
 P 296252 8751 245590 27084739
 P 298269 8751 248170 27208315
 P 299808 8824 248184 27325659
 P 301825 8979 248194 27445284
 P 303845 9052 248209 27566260
 P 305386 9125 248223 27686464
 P 307855 9198 248237 27806540
 P 309075 9271 248252 27926998
 P 311467 9271 250578 28050415
 P 313904 9344 250592 28167759
 P 315733 9417 250607 28287963
 P 318046 9417 250617 28407632
 P 320068 9489 250632 28528659
 P 322090 9562 250647 28648863
 P 323632 9633 250663 28768938
 P 325649 9633 253243 28892515
 P 327192 9706 253257 29009859
 P 329209 9856 253267 29129479
 P 330752 9928 253283 29250459
 P 332769 10076 253293 29370077
 P 334313 10149 253308 29491059
 P 336785 10221 253323 29611263
 P 339195 10294 253337 29731339
 P 341212 10294 255917 29854915
 P 342757 10366 255933 29972259
 P 344775 10514 255943 30091877
 P 346321 10587 255958 30212859
 P 348283 10587 258538 30335219
 P 349829 10660 258553 30453459
 P 351846 10805 258564 30573075
 P 353394 10878 258580 30694060
 P 355411 11022 258590 30813673
 P 356959 11095 258604 30934659
 P 358976 11240 258614 31054274
 P 360524 11313 258629 31175259
 P 362541 11456 258639 31294872
 P 363928 11529 258654 31415859
 P 365945 11670 258665 31535471
 P 367812 11743 258679 31656459
 P 369199 11816 258694 31776663
 P 371160 11816 258704 31896332
 P 373027 11889 258719 32017359
 P 375343 11962 258733 32137562
 P 376411 12034 258749 32257639
 P 378663 12107 258765 32378100
 P 380922 12107 261104 32501515
 P 382599 12180 261119 32618859
 P 384560 12180 261129 32738272
 P 386431 12253 261143 32859460
 P 387821 12325 261159 32979662
 P 389691 12398 261174 33099739
 P 390763 12398 261180 33219632
 P 392316 12398 261185 33340092
 P 393707 12471 261200 33460959
 P 394778 12544 261215 33581163
 P 396716 12544 261220 33700672
 P 399004 12617 261235 33821860
 P 400686 12690 261250 33942064
 P 402998 12690 261261 34061732
 P 404872 12763 261276 34182759
 P 406265 12836 261291 34302963
 P 408587 12908 261305 34423039
 P 409343 12908 261310 34542932
 P 411601 12980 261326 34663959
 P 413969 13113 261337 34783563
 P 415844 13186 261351 34904559
 P 417239 13259 261366 35024762
 P 419562 13332 261381 35144839
 P 420638 13405 261395 35265299
 P 422654 13405 263976 35389131
 P 423732 13405 263982 35505492
 P 425739 13405 263987 35625792
 P 426554 13533 263993 35746278
 P 428557 13533 263999 35866452
 P 430546 13533 264004 35986707
 P 431970 13533 266579 36109619
 P 434601 13606 266599 36227763
 P 436480 13679 266614 36347840
 P 437879 13752 266628 36468299
 P 440167 13752 268981 36591715
 P 441246 13824 268997 36709059
 P 443262 13949 269008 36828654
 P 444404 13949 269014 36949152
 P 446732 14022 269029 37069959
 P 447814 14095 269044 37190164
 P 450079 14168 269058 37310238
 P 452376 14241 269074 37430700
 P 453803 14241 271650 37554115
 P 455685 14314 271664 37671459
 P 457088 14386 271680 37791664
 P 459418 14459 271695 37911739
 P 460501 14532 271709 38032200
 P 462725 14532 274067 38155615
 P 464741 14532 276648 38274923
 P 466145 14605 276663 38393260
 P 468479 14678 276678 38513464
 P 469563 14751 276693 38633539
 P 471832 14822 276708 38753998
 P 474088 14822 279066 38877415
 P 475781 14895 279081 38994759
 P 478149 15013 279092 39114347
 P 480035 15086 279106 39235358
 P 481441 15159 279122 39355564
 P 483776 15230 279137 39475638
 P 484863 15303 279152 39596100
 P 487086 15303 281515 39719515
 P 489389 15374 281530 39836857
 P 491084 15447 281545 39957063
 P 493396 15447 281556 40076732
 P 495284 15520 281571 40197758
 P 496692 15593 281586 40317963
 P 499029 15666 281601 40438040
 P 500118 15739 281616 40558501
 P 502392 15812 281631 40679856
 P 504436 15812 284206 40802631
 P 506134 15885 284222 40919559
 P 508502 15997 284233 41039141
 P 510392 16069 284249 41160158
 P 511803 16142 284263 41280363
 P 514142 16215 284278 41400439
 P 514915 16215 284284 41520332
 P 517223 16288 284298 41641359
 P 518923 16361 284313 41761562
 P 521291 16361 286894 41883859
 P 523185 16434 286909 42002260
 P 524598 16507 286924 42122463
 P 526939 16579 286940 42242539
 P 528033 16652 286954 42362999
 P 530254 16652 289325 42486415
 P 532246 16652 289331 42603192
 P 533686 16652 291907 42726119
 P 536701 16725 291921 42844360
 P 539070 16832 291932 42963936
 P 540965 16905 291947 43084958
 P 542382 16978 291961 43205164
 P 544398 16978 294542 43327459
 P 545814 17051 294557 43445859
 P 548159 17124 294571 43566063
 P 549256 17197 294585 43686139
 P 551537 17270 294600 43806599
 P 553850 17343 294615 43927955
 P 555294 17343 297192 44050731
 P 557662 17343 299773 44169623
 P 559560 17416 299788 44287959
 P 560980 17489 299802 44408164
 P 563327 17562 299817 44528239
 P 564426 17635 299832 44648698
 P 566710 17707 299847 44770054
 P 568764 17707 302423 44892831
 P 570664 17780 302438 45009759
 P 571767 17780 302443 45129396
 P 574114 17780 304758 45252419
 P 575216 17853 304773 45370660
 P 577502 17926 304788 45490863
 P 579518 17926 307369 45613159
 P 580940 17998 307385 45731559
 P 582956 18095 307396 45851126
 P 584859 18168 307410 45972159
 P 586500 18168 309986 46094423
 P 588403 18241 310001 46212759
 P 589569 18241 310006 46332456
 P 591916 18241 312325 46455419
 P 593021 18314 312340 46573659
 P 595037 18409 312352 46693225
 P 596944 18482 312366 46814261
 P 598370 18555 312381 46934462
 P 600275 18628 312396 47054539
 P 601701 18701 312410 47174999
 P 602807 18774 312425 47296355
 P 604767 18774 312436 47414744
 P 606194 18847 312450 47536058
 P 608210 18938 312462 47655621
 P 610117 19011 312477 47776659
 P 612475 19084 312491 47896864
 P 613584 19157 312505 48016940
 P 615545 19157 315086 48139619
 P 617455 19230 315100 48257859
 P 618885 19303 315114 48378064
 P 620901 19303 317695 48500359
 P 622810 19376 317710 48618758
 P 624850 19376 317715 48738396
 P 625947 19376 320042 48861419
 P 627963 19376 322623 48981623
 P 629875 19449 322637 49099960
 P 632235 19522 322651 49220164
 P 633346 19593 322666 49340237
 P 635362 19593 325247 49463815
 P 637274 19666 325261 49581159
 P 639634 19738 325277 49701362
 P 640746 19810 325292 49821439
 P 642707 19810 327873 49944119
 P 644620 19883 327888 50062360
 P 646053 19956 327903 50182565
 P 648069 19956 330484 50304859
 P 649983 20029 330498 50423259
 P 652345 20101 330514 50543462
 P 653459 20174 330529 50663538
 P 655528 20174 333104 50786059
 P 657443 20246 333120 50904459
 P 659808 20319 333135 51024664
 P 660925 20392 333149 51144740
 P 662842 20465 333164 51265199
 P 664278 20537 333180 51386555
 P 665133 20537 335755 51509331
 P 667150 20537 338336 51628223
 P 668587 20609 338351 51746559
 P 670603 20687 338362 51866108
 P 672041 20760 338376 51987159
 P 674057 20839 338387 52106708
 P 675976 20912 338402 52227760
 P 678343 20985 338416 52347963
 P 679462 21057 338433 52468039
 P 681797 21130 338448 52588499
 P 683263 21130 341023 52711915
 P 685183 21203 341038 52829259
 P 687551 21276 341053 52949463
 P 688672 21349 341067 53069538
 P 691009 21421 341082 53189999
 P 692738 21494 341097 53311356
 P 695050 21494 341107 53429744
 P 696972 21567 341121 53551059
 P 699342 21639 341137 53671263
 P 700464 21712 341152 53791339
 P 702803 21784 341167 53911798
 P 704216 21784 341173 54032588
 P 706851 21857 341192 54152559
 P 708775 21930 341206 54272763
 P 711147 22003 341221 54392839
 P 712271 22076 341236 54513298
 P 714611 22149 341251 54634655
 P 716042 22149 341256 54754821
 P 718414 22149 341266 54873756
 P 720339 22222 341281 54994659
 P 722713 22295 341295 55114863
 P 723839 22368 341310 55234939
 P 725855 22368 343890 55358515
 P 727302 22441 343904 55475859
 P 729318 22508 343914 55595396
 P 730765 22581 343929 55716458
 P 732988 22654 343948 55836759
 P 734436 22727 343962 55956963
 P 736397 22727 346542 56079419
 P 737846 22800 346557 56197660
 P 739863 22866 346568 56317195
 P 741312 22939 346583 56438259
 P 743328 23004 346593 56557794
 P 744778 23077 346607 56678859
 P 747156 23150 346622 56799063
 P 747968 23150 346628 56918572
 P 749965 23150 346633 57039192
 P 752312 23223 346647 57160059
 P 754051 23295 346663 57280264
