using saved target 'z1'
../../../../contiki/tools/sky/serialdump-linux -b115200 /dev/ttyUSB0
connecting to /dev/ttyUSB0 (115200) [OK]
OçâûOÿMy address is 1.0.
nullmac PRIMAC, channel check rate 8 Hz, radio channel 26
Starting
Hello, world
 P 0 0 61 55864
 P 0 0 3451 175134
 P 0 0 6841 295434
 P 0 0 10231 415734
 P 0 0 13621 536034
 P 3237 0 13843 658331
 P 6459 0 14011 776634
 P 8092 0 15768 896934
 P 8092 0 19158 1017234
 P 9332 0 21308 1137534
 P 12437 0 21313 1258327
 P 14419 0 21316 1378134
 P 16369 0 21319 1498434
 P 18287 0 21322 1618734
 P 20174 0 21325 1739034
 P 21100 0 21336 1859731
 P 22572 0 21345 1979634
 P 24361 0 21348 2099934
 P 26319 0 21351 2220234
 P 28583 0 21354 2340534
 P 30544 0 21359 2463055
 P 31403 0 21367 2581134
 P 32877 0 21375 2701434
 P 34675 0 21378 2821734
 P 36440 0 21382 2942034
 P 38240 0 21387 3064715
 P 39941 0 21390 3182634
 P 40798 0 21399 3302934
 P 42219 0 21407 3423234
 P 43694 0 21415 3543534
 P 45334 0 21420 3665447
 P 47051 0 21423 3784134
 P 49126 0 21426 3904434
 P 49982 0 21434 4024734
 P 51362 0 21442 4145034
 P 53016 0 21447 4266979
 P 54571 0 21451 4385634
 P 56573 0 21455 4505934
 P 58064 0 21458 4626234
 P 58919 0 21466 4746534
 P 60463 0 21476 4867871
 P 61857 0 21479 4987134
 P 63367 0 21482 5107434
 P 65282 0 21485 5227734
 P 66703 0 21488 5348034
 P 67623 0 21499 5470683
 P 69004 0 21502 5588634
 P 70353 0 21505 5708934
 P 71831 0 21513 5829234
 P 73494 0 21516 5949534
 P 74729 0 21521 6071831
 P 76811 0 21524 6190134
 P 77663 0 21532 6310434
 P 78819 0 21535 6430734
 P 80299 0 21543 6551034
 P 81942 0 21548 6671827
 P 84115 0 21551 6791634
 P 85661 0 21554 6911934
 P 86511 0 21563 7032234
 P 87637 0 21566 7152534
 P 89184 0 21576 7273231
 P 90672 0 21579 7393134
